	 about	 emails	 city	 country	 category	 description	day	month	year
0	fashion				Company				
1	blog	hardrock	Rome	Italy	American Restaurant				
2	accessories				Website				
3	food	thursdaypizza	Milan	Italy	Pizza Place	food	4.0	6.0	2016.0
4	design	brillance-auto	Paimpol	France	Cleaning Service	design			
5	design				Community				
6	food				Community	food			
7	food	gmail	Torino	Italy	CrÃªperie	fashion	9.0	5.0	1991.0
8	design	padiglioneb	Caprino Veronese	Italy	Company				
9	fashion	gmail			Personal Blog		9.0	7.0	2015.0
10	blog	fromafriendofmine	Paris		Fashion	fashion			
11	fashion				Blogger				
12	accessories				Clothing (Brand)	accessories			
13	fashion	hotmail			Arts & Humanities Website	fashion			
14		gmail			Photographer				
15	fashion	outlook	Warsaw	Poland	Entertainment Website	fashion	5.0	7.0	2015.0
16	accessories	preziosamagazine	Naples	Italy	Media/News Company	accessories			
17	food				Product/Service		2.0	21.0	2014.0
18	design	vrpremium			Product/Service	design			
19	blog	gmail	Warsaw	Poland	Fictional Character		11.0	3.0	2011.0
20	accessories				Clothing (Brand)				
21	fashion				Health/Beauty	fashion			
22	accessories	mimbresco	Oakland	United States	Company	hair			
23	fashion	driferreira	San Diego	United States	Personal Assistant	fashion	1.0	1.0	2010.0
24	fashion	gmail	Valletta	Malta	Blogger				
25	accessories				Internet Marketing Service	accessories			
26	car	carinum	Wetzikon	Switzerland	Motor Vehicle Company	car			
27	beauty		TrÃªs Passos	Brazil	Clothing (Brand)	design			
28	design	racechipgalaxy	Dalkey		Motor Vehicle Company	fashion			
29	fashion	maximumhealth	Benin-City	Nigeria	Nutritionist	fashion			
30					Personal Blog				
31	hair		Mirandola	Italy	Hair Salon				
32	design	bemyguest	GlyfÃ¡das	Greece	Event	fashion			
33	beauty				Community	design	1.0	29.0	2012.0
34	blog				Magazine	fashion	4.0	17.0	2016.0
35	fashion				Just For Fun	fashion			
36	fashion				Community				
37		giginoeanita	Pompei	Italy	Makeup Artist				
38	accessories				Camera/Photo	fashion			
39	blog				Community				
40	design	drivesafetoday	Jersey City	United States	Driving School	design			
41	fashion				Clothing (Brand)	fashion			
