	 about	 city	 country	 category	 description	 cluster
0	5	85	5	20	5	2
1	5	40	15	18	0	3
2	5	32	15	11	4	3
3	6	56	12	99	5	0
4	5	51	15	90	4	3
5	6	15	20	18	0	1
6	3	87	15	11	4	1
7	0	15	0	19	0	1
8	7	73	15	40	2	1
9	4	52	21	46	4	1
10	5	71	0	70	5	2
11	5	20	16	29	5	2
12	5	65	15	67	2	3
13	2	73	15	98	4	1
14	6	9	15	54	0	1
15	4	41	29	73	0	1
16	6	81	7	77	0	1
17	5	83	10	24	5	2
18	4	67	11	54	5	0
19	5	87	21	32	5	2
20	4	38	15	85	0	1
21	5	51	15	77	6	3
22	5	5	4	85	0	3
23	5	14	9	32	5	2
24	5	46	15	99	5	2
25	4	73	15	59	4	1
26	0	45	30	65	3	1
27	4	27	10	21	5	0
28	3	51	26	11	5	0
29	3	72	30	6	5	0
30	5	85	13	3	5	2
31	5	31	14	46	4	3
32	4	31	11	33	5	0
33	4	46	26	73	5	0
34	4	27	10	21	5	0
35	5	87	30	11	0	3
36	3	83	14	6	5	0
37	5	51	15	91	5	2
38	5	87	15	3	0	3
39	5	83	26	46	4	3
40	4	31	11	33	5	0
41	5	42	22	20	5	2
42	0	86	30	37	0	1
43	5	51	22	31	5	2
44	5	74	21	77	5	2
45	0	55	22	75	0	1
46	3	51	30	18	5	0
47	4	11	0	40	0	1
48	1	15	15	77	4	1
49	3	69	15	18	3	1
50	5	83	26	77	4	3
51	5	28	9	77	5	2
52	2	66	15	24	4	1
53	5	37	15	55	5	2
54	5	55	28	59	0	3
55	5	79	18	38	5	2
56	4	50	9	24	5	0
57	5	56	14	11	5	2
58	7	18	15	44	5	0
59	4	83	10	20	5	0
60	5	49	15	67	5	2
61	2	27	14	70	2	1
62	0	68	15	87	5	0
63	0	56	25	18	2	1
64	4	51	15	70	5	0
65	1	43	15	25	5	0
66	0	4	19	69	0	1
67	5	67	30	80	5	2
68	5	87	21	4	5	2
69	2	85	15	77	5	0
70	1	65	22	70	5	0
71	6	47	30	99	5	0
72	0	30	15	77	5	0
73	4	87	21	4	5	0
74	3	83	14	89	3	1
75	5	30	24	24	5	2
76	1	37	11	24	5	0
77	4	51	30	24	5	0
78	2	15	30	70	3	1
79	5	9	27	59	3	3
80	3	87	21	32	6	1
81	2	31	25	70	0	1
82	5	47	30	99	5	2
83	4	82	22	69	5	0
84	5	51	15	55	5	2
85	4	30	22	71	5	0
86	5	34	30	24	5	2
87	0	73	14	99	5	0
88	5	48	1	15	5	2
89	5	7	30	83	5	2
90	0	76	15	44	4	1
91	2	36	15	70	0	1
92	5	27	28	70	5	2
93	5	9	5	70	0	3
94	4	57	27	18	2	1
95	0	72	15	20	5	0
96	5	70	9	24	5	2
97	2	27	7	65	5	0
98	2	47	30	67	2	1
99	5	31	12	77	0	3
100	2	65	15	70	5	0
101	1	27	16	24	0	1
102	5	16	30	20	0	3
103	3	70	21	16	3	1
104	0	58	15	68	0	1
105	3	12	5	67	4	1
106	4	38	30	30	4	1
107	0	35	2	6	5	0
108	0	60	30	10	0	1
109	5	36	5	59	5	2
110	5	51	19	24	0	3
111	5	2	15	20	5	2
112	0	69	22	14	4	1
113	5	58	15	70	5	2
114	5	65	15	61	5	2
115	0	43	25	75	4	1
116	0	16	30	0	5	0
117	0	29	3	100	5	0
118	5	54	15	44	7	3
119	6	12	15	11	5	0
120	4	61	22	32	4	1
121	4	24	16	43	5	0
122	0	73	15	13	6	1
123	4	35	15	67	2	1
124	3	23	30	95	4	1
125	0	51	15	67	0	1
126	5	30	15	22	4	3
127	5	2	23	83	5	2
128	0	11	15	27	5	0
129	7	52	0	25	5	0
130	0	3	8	81	5	0
131	1	59	9	57	1	1
132	4	27	5	70	0	1
133	0	53	15	6	5	0
134	5	83	12	20	5	2
135	5	77	15	64	0	3
136	6	83	15	85	0	1
137	5	42	0	45	5	2
138	2	64	15	49	2	1
139	6	51	15	62	6	1
140	1	73	11	45	5	0
141	5	88	9	24	6	3
142	5	82	5	20	4	3
143	6	58	30	20	6	1
144	2	51	11	73	5	0
145	1	30	24	70	4	1
146	7	77	10	75	4	1
147	0	69	22	43	5	0
148	0	8	15	4	0	1
149	0	13	30	58	5	0
150	5	75	13	70	5	2
151	5	78	8	70	0	3
152	4	51	15	34	0	1
153	5	28	30	52	5	2
154	5	33	14	93	5	2
155	4	9	26	94	4	1
156	5	56	14	51	5	2
157	4	53	15	75	0	1
158	5	33	11	77	0	3
159	6	51	15	74	6	1
160	5	27	28	70	5	2
161	0	85	26	2	5	0
162	6	9	15	24	5	0
163	8	30	21	10	0	1
164	7	51	9	54	5	0
165	4	38	30	18	4	1
166	5	51	15	50	5	2
167	5	90	21	61	5	2
168	5	6	11	96	4	3
169	5	51	14	61	5	2
170	4	25	0	17	3	1
171	0	24	7	31	2	1
172	2	19	30	5	5	0
173	5	87	15	20	5	2
174	1	65	11	24	5	0
175	5	51	21	24	0	3
176	4	64	22	24	5	0
177	5	69	10	46	5	2
178	5	51	15	41	4	3
179	8	12	24	86	4	1
