	 about	 city	 country	 category	 description	 cluster
0	fashion	New Orleans	Italy	Company	fashion	0
1	blog	Rome	Italy	American Restaurant	accessories	3
2	accessories	SÃ£o JosÃ©	Spain	Website	food	3
3	food	Milan	Italy	Pizza Place	food	3
4	design	Paimpol	France	Cleaning Service	design	1
5	design	Atlanta	Poland	Community	accessories	1
6	food	MstÃ³w	Brazil	Community	food	1
7	food	Torino	Italy	CrÃªperie	fashion	2
8	design	Caprino Veronese	Italy	Company	fashion	2
9	fashion	New York	United States	Personal Blog	accessories	1
10	blog	Paris	Italy	Fashion	fashion	2
11	fashion	Dalkey	United States	Blogger	blog	1
12	accessories	Milan	Canada	Clothing (Brand)	accessories	3
13	fashion	Austin	France	Arts & Humanities Website	fashion	0
14	car	Los Angeles	United States	Photographer	food	1
15	fashion	Warsaw	Poland	Entertainment Website	fashion	0
16	accessories	Naples	Italy	Media/News Company	accessories	3
17	food	Milan	United States	Product/Service	accessories	1
18	design	MontrÃ©al	United States	Product/Service	design	1
19	blog	Warsaw	Poland	Fictional Character	food	1
20	accessories	Naples	Italy	Clothing (Brand)	fashion	2
21	fashion	Poznan	United States	Health/Beauty	fashion	0
22	accessories	Oakland	United States	Company	hair	3
23	fashion	San Diego	United States	Personal Assistant	fashion	0
24	fashion	Valletta	Malta	Blogger	fashion	0
25	accessories	Milan	United States	Internet Marketing Service	accessories	3
26	car	Wetzikon	Switzerland	Motor Vehicle Company	car	1
27	beauty	TrÃªs Passos	Brazil	Clothing (Brand)	design	1
28	design	Dalkey	Poland	Motor Vehicle Company	fashion	0
29	fashion	Benin-City	Nigeria	Nutritionist	fashion	0
30	design	Verona	United States	Personal Blog	fashion	0
31	hair	Mirandola	Italy	Hair Salon	car	3
32	design	GlyfÃ¡das	Greece	Event	fashion	0
33	beauty	San Diego	Bangladesh	Community	design	1
34	blog	Palm Beach	Italy	Magazine	fashion	2
35	fashion	Huntingdon	Bangladesh	Just For Fun	fashion	0
36	fashion	Cascais	Greece	Community	design	1
37	accessories	Pompei	Italy	Makeup Artist	design	3
38	accessories	Rome	Portugal	Camera/Photo	fashion	2
39	blog	Glasgow	Austria	Community	accessories	1
40	design	Jersey City	United States	Driving School	design	1
41	fashion	Ashburn	Argentina	Clothing (Brand)	fashion	0
42	car	Gardena	United States	Car Dealership	fashion	0
43	car	Parabiago	Italy	Hotel	blog	3
44	accessories	Milan	Italy	Personal Website	fashion	2
45	food	Moscow	Russia	Car Dealership	food	1
46	fashion	Sydney	Australia	Fitness Model	accessories	1
47	fashion	New York	Poland	TV Show	accessories	1
48	food	Turin	United Kingdom	Consulting Agency	fashion	0
49	fashion	Brussels	Italy	Personal Blog	hair	0
50	beauty	Warsaw	Ireland	Magazine	beauty	1
51	accessories	Benin-City	France	Product/Service	fashion	2
52	fashion	Minsk Mazowiecki	China	Jewelry/Watches	fashion	0
53	accessories	DÃ¼sseldorf	Italy	Cars	food	3
54	fashion	Athens	Canada	App Page	beauty	1
55	accessories	Czestochowa	United States	Clothing (Brand)	fashion	2
56	design	Warszawa, Poland	Spain	Food & Beverage Company	fashion	0
57	accessories	Cheras, Kuala Lumpur	Malaysia	Community	fashion	2
58	fashion	Cascais	Canada	Product/Service	design	1
59	design	Frankfurt	Germany	Advertising/Marketing	design	1
60	blog	Parabiago	United States	Musician/Band	blog	1
61	design	Turin	Poland	Product/Service	accessories	1
62	accessories	Dhaka	Bangladesh	Clothing Store	design	3
63	accessories	Hangzhou	Russia	Cars	blog	3
64	fashion	Jersey City	Bangladesh	Fashion	fashion	0
65	design	SÃ£o Bernardo do Campo	Brazil	Architect	fashion	0
66	design	Florence	Spain	Blogger	design	1
67	design	Bologna	Italy	Health/Beauty	accessories	3
68	food	Turin	Italy	Grocery Store	food	3
69	food	Benin-City	Russia	Community	car	1
70	accessories	Montecalvoli	United States	Just For Fun	fashion	2
71	fashion	Dubai	Malaysia	Artist	fashion	0
72	accessories	North Miami	United States	Website	fashion	2
73	fashion	Rome	Netherlands	Community	food	1
74	fashion	Milan	Italy	News & Media Website	fashion	0
75	accessories	Dhaka	Italy	Clothing (Brand)	fashion	2
76	fashion	Warsaw	Poland	Artist	fashion	0
77	fashion	Warsaw	Brazil	Community	accessories	1
78	accessories	Buenos Aires	Argentina	Makeup Artist	fashion	2
79	fashion	Madrid	Spain	Entertainment Website	car	1
80	fashion	Damery	United States	Website	design	1
81	fashion	Porto	Italy	Organization	fashion	0
82	fashion	Dublin	Italy	Public Figure	accessories	1
83	accessories	Cuorgnè	Italy	Clothing (Brand)	accessories	3
84	fashion	Orlando	Italy	Local & Travel Website	fashion	0
85	food	North Vancouver	Poland	Community	fashion	0
86	design	Groningen	Netherlands	Arts & Entertainment	design	1
87	beauty	Modena	Spain	Personal Blog	fashion	0
88	beauty	CuorgnÃ¨	United States	Clothing (Brand)	accessories	1
89	car	Brooklyn	Canada	Community	accessories	1
90	accessories	Bridgehampton	United States	Art Gallery	accessories	3
91	fashion	Athens	Germany	Website	fashion	0
92	fashion	Athens	Greece	Tour Agency	design	1
93	accessories	Casalecchio di Reno	United States	Cars	car	3
94	accessories	Naples	Italy	Pet Store	fashion	2
95	accessories	Vologda	Russia	Clothing Store	food	3
96	blog	Paimpol	United Arab Emirates	Personal Blog	fashion	0
97	hair	Brooklyn	Italy	Media/News Company	car	3
98	fashion	Warszawa, Poland	United States	Personal Blog	accessories	1
99	accessories	New York	United States	Accessories	accessories	3
100	design	Czestochowa	United States	Community	fashion	0
101	fashion	Los Angeles	Netherlands	Personal Blog	fashion	0
102	food	Glasgow	Italy	Community	design	3
103	food	Roma	Italy	Personal Blog	fashion	2
104	accessories	New York	Canada	Baby Goods/Kids Goods	fashion	2
105	accessories	Parma	Italy	Clothing (Brand)	fashion	2
106	accessories	Senigallia	Italy	Local Business	accessories	3
107	luxury	Bangalore	Italy	Reference Website	food	3
108	blog	Milan	Italy	Fashion Designer	design	3
109	accessories	SÃ£o JosÃ©	United States	Retail Company	fashion	2
110	hair	Mirandola	Poland	Home Decor	fashion	0
111	fashion	Moscow	Russia	Retail Company	accessories	1
112	accessories	Batna	Algeria	Jewelry/Watches	fashion	2
113	fashion	Paris	United States	Website	food	1
114	fashion	London	United States	Community	fashion	0
115	accessories	Florence	Italy	Shopping & Retail	fashion	2
116	fashion	Palermo	Italy	Hair Salon	fashion	0
117	fashion	Madrid	United States	Clothing (Brand)	fashion	0
118	luxury	Fawkham	Italy	Magazine	design	3
119	food	Bologna	Italy	Beauty, Cosmetic & Personal Care	accessories	3
120	accessories	Los Angeles	United States	Musician/Band	design	1
121	design	Damery	France	Art Gallery	accessories	1
122	design	Colchester	United Kingdom	Automotive Repair Shop	accessories	1
123	food	Rome	Italy	Sandwich Shop	fashion	2
124	fashion	Sant'Arcangelo di Romagna	Brazil	Community	design	1
125	design	Burlington	Italy	Personal Blog	food	3
126	accessories	Porto	Belgium	Clothing (Brand)	fashion	2
127	accessories	Brussels	United Kingdom	Public Figure	accessories	3
128	fashion	Toronto	Canada	Interior Design Studio	fashion	0
129	accessories	Milan	Italy	Burger Restaurant	accessories	3
130	car	New York	Italy	Photographer	beauty	3
131	accessories	Rome	Poland	Website	design	3
132	car	Brussels	Belgium	Towing Service	car	1
133	design	Bangalore	India	Blogger	fashion	0
134	accessories	Bernareggio	Italy	Beauty Salon	design	3
135	fashion	Sant'Arcangelo di Romagna	Italy	Website	accessories	1
136	design	Tel Aviv	Israel	Design & Fashion	design	1
137	food	Erbusco	United States	Wine/Spirits	fashion	0
138	blog	Brussels	Israel	Clothing (Brand)	fashion	0
139	hair	Indianapolis	United States	Hair Salon	fashion	0
140	fashion	Naples	Italy	Personal Blog	fashion	0
141	accessories	Caprino Veronese	Israel	Cars	food	3
142	food	London	United Kingdom	Public Service	food	1
143	accessories	Rome	Poland	Fashion Model	accessories	3
144	beauty	Ashburn	India	Public Figure	hair	1
145	beauty	North Vancouver	India	Public Figure	fashion	0
146	fashion	Paris	Italy	Other	fashion	0
147	fashion	Madrid	Australia	Movie	fashion	0
148	beauty	Biberach an der RiÃ	France	Artist	beauty	1
149	luxury	Fuengirola	Spain	Real Estate	accessories	1
150	fashion	Dubai	United Arab Emirates	Entrepreneur	fashion	0
151	blog	Toronto	Russia	Community	accessories	1
152	hair	Fuengirola	Belgium	Community	fashion	0
153	accessories	Florence	Italy	Society & Culture Website	accessories	3
154	food	Paris	France	Product/Service	food	1
155	car	Brussels	Belgium	Towing Service	car	1
156	fashion	Naples	Italy	Personal Blog	fashion	0
157	accessories	Czestochowa	Poland	Clothing (Brand)	fashion	2
158	fashion	Mondo	Italy	Health & Wellness Website	fashion	0
