	 about	 city	 country	 category	 description	 cluster	 user_id
0	fashion	Vilaseca	Brazil	Clothing (Brand)	fashion	2	119123079651
1	fashion	Katowice	Italy	Cars	accessories	3	1191133810898077
2	fashion	Guadalajara	Italy	Blogger	design	3	1180689082051357
3	food	Mumbai	Hong Kong	Website	fashion	0	1186279451403766
4	fashion	Milan	Italy	Stadium, Arena & Sports Venue	design	3	127836757361993
5	food	Buenos Aires	Pakistan	Cars	accessories	1	1272210509483868
6	car	Warsaw	Italy	Blogger	design	1	126418110759080
7	accessories	Buenos Aires	Argentina	City	accessories	1	126371954115957
8	hair	Rome	Italy	Food & Beverage Company	blog	1	125517204141542
9	design	Minsk Mazowiecki	Poland	Health/Beauty	design	1	124869470879948
10	fashion	Prato	Argentina	Personal Blog	fashion	2	124287247761801
11	fashion	Cheras, Kuala Lumpur	Malaysia	Design & Fashion	fashion	2	1227154187294694
12	fashion	Paris	Italy	News & Media Website	blog	3	122350644589516
13	blog	Rome	Italy	Video Creator	design	1	124308614287838
14	food	Barcelona	Italy	Jewelry/Watches	accessories	1	1230687133660621
15	design	Kwai Chung	United Kingdom	Photographer	accessories	1	116403655066171
16	food	Toronto	Canada	Public Figure	accessories	1	117176201656363
17	fashion	Turin	Germany	Community	fashion	2	1163656913650192
18	design	Pocasset	Greece	Jewelry/Watches	fashion	0	116168812129013
19	fashion	Warsaw	Poland	Entertainment Website	fashion	2	1155235691168817
20	design	Jersey City	Italy	Shopping & Retail	accessories	1	113421785414817
21	fashion	Milan	Italy	Public Figure	food	3	115267475153313
22	fashion	Antwerp	Belgium	Shopping & Retail	accessories	3	113464325410898
23	fashion	Budapest	France	Entertainment Website	fashion	2	1128802950492797
24	fashion	Madrid	Italy	Website	fashion	2	112798982162923
25	design	Rome	Italy	Magazine	design	1	112453308716
26	accessories	Los Angeles	United States	Musician/Band	car	1	113133728748538
27	design	DÃ¼sseldorf	Germany	College & University	fashion	0	111573248893009
28	car	Milan	Spain	Blogger	fashion	0	1114201225311341
29	car	Reggio nell Emilia	United States	Athlete	fashion	0	110997035729481
30	fashion	Vilaseca	Hungary	App Page	fashion	2	1102746296499267
31	fashion	GlyfÃ¡das	India	Health/Beauty	design	3	109921562664
32	design	GlyfÃ¡das	Greece	Event	fashion	0	109282949147794
33	design	Madrid	Spain	Photographer	fashion	0	109558825748804
34	design	DÃ¼sseldorf	Germany	College & University	fashion	0	111573248893009
35	fashion	Warsaw	United States	Blogger	accessories	3	1114201225311341
36	car	Turin	India	Athlete	fashion	0	110997035729481
37	fashion	Milan	Italy	Sushi Restaurant	fashion	2	110593149028214
38	fashion	Warsaw	Italy	App Page	accessories	3	1102746296499267
39	fashion	Turin	Spain	Health/Beauty	design	3	109921562664
40	design	GlyfÃ¡das	Greece	Event	fashion	0	109282949147794
41	fashion	Lisbon	Portugal	Clothing (Brand)	fashion	2	108486934793
42	accessories	Vista	United States	Fashion	accessories	1	108259206058
43	fashion	Milan	Portugal	Education	fashion	2	1081319261921778
44	fashion	RzeszÃ³w	Poland	Public Figure	fashion	2	1075750705872176
45	accessories	Moscow	Portugal	Product/Service	accessories	1	1071535369568624
46	car	Milan	United States	Cars	fashion	0	1068635576541972
47	design	Bibbiena	Argentina	Food & Beverage Company	accessories	1	1459074464344990
48	beauty	Buenos Aires	Italy	Public Figure	design	1	412147798920484
49	car	Porto	Italy	Cars	car	1	407610275938544
50	fashion	Turin	Spain	Public Figure	design	3	407161642793474
51	fashion	Edison	France	Public Figure	fashion	2	404966289552941
52	blog	Parma	Italy	Community	design	1	402906376458895
53	fashion	Islamabad	Italy	Just For Fun	fashion	2	401019349998363
54	fashion	Moscow	Turkey	Magazine	accessories	3	397414000304908
55	fashion	Tangier	Morocco	Fashion Designer	fashion	2	391629577711027
56	design	Miami	France	Community	fashion	0	390654647693135
57	fashion	Mumbai	India	Blogger	fashion	2	390076247786479
58	hair	Cervia	Italy	Hair Salon	fashion	0	383494578395444
59	design	Turin	Germany	Clothing (Brand)	fashion	0	382646955153252
60	fashion	Merate	Italy	News & Media Website	fashion	2	381048078755657
61	blog	DÃ¼sseldorf	India	Personal Blog	blog	1	380438492002993
62	accessories	Pompei	Italy	Skin Care Service	fashion	0	379820685404752
63	accessories	Mumbai	Serbia	Cars	blog	1	378990845563703
64	design	Milan	Italy	Personal Blog	fashion	0	373042556203546
65	beauty	Locorotondo 	Italy	Company	fashion	0	367800460083120
66	accessories	Amsterdam	Netherlands	Organization	accessories	1	366137173497347
67	fashion	Pocasset	United States	Real Estate Agent	fashion	2	364876776891097
68	fashion	Warsaw	Poland	Artist	fashion	2	364858089075
69	blog	Vilaseca	Italy	Public Figure	fashion	0	364565428332
70	beauty	Paris	Portugal	Personal Blog	fashion	0	364235473592417
71	food	Mato Grosso	United States	Website	fashion	0	362773030500890
72	accessories	Florence	Italy	Public Figure	fashion	0	361742070552462
73	design	Warsaw	Poland	Artist	fashion	0	361734633860475
74	car	Turin	India	Sports & Recreation	car	1	359063237560813
75	fashion	Florence	Russia	Community	fashion	2	356356367865122
76	beauty	Islamabad	Greece	Community	fashion	0	356307567735069
77	design	Milan	United States	Community	fashion	0	356016277769106
78	blog	Buenos Aires	United States	Personal Blog	car	1	354190751385188
79	fashion	Barcelona	Tunisia	Magazine	car	3	353991694658370
80	car	Warsaw	Poland	Entertainment Website	food	1	353734638045018
81	blog	GlyfÃ¡das	Serbia	Personal Blog	accessories	1	353020448134882
82	fashion	Mato Grosso	United States	Website	fashion	2	351563904974792
83	design	TrÃªs Passos	Portugal	Organization	fashion	0	351493834638
84	fashion	Milan	Italy	Just For Fun	fashion	2	350446965110537
85	design	Florence	Portugal	Personal Website	fashion	0	347130215402328
86	fashion	Highton	United States	Community	fashion	2	343452859382074
87	accessories	Rome	India	Website	fashion	0	342496019280784
88	fashion	Melbourne	Australia	Business Service	fashion	2	342338225887508
89	fashion	Atlanta	United States	Retail Company	fashion	2	341975175960645
90	accessories	Sarzana	Italy	Hair Salon	design	1	341777242611173
91	blog	Hong Kong	Italy	Personal Blog	accessories	1	340680242766580
92	fashion	DÃ¼sseldorf	Turkey	Personal Blog	fashion	2	336318923125848
93	fashion	Barcelona	Brazil	Personal Blog	accessories	3	335910473165800
94	design	Nabeul	Tunisia	Cars	blog	1	332915830077004
95	accessories	Reggio nell Emilia	Italy	Clothing (Brand)	fashion	0	327471960682448
96	fashion	Poznan	France	Community	fashion	2	326481374363862
97	blog	DÃ¼sseldorf	Canada	Musician/Band	fashion	0	316329675044371
